time,value
2017-07-01 04:20:15,141.2169189453125
2017-07-01 08:08:46,139.22547912597656
2017-07-01 11:33:51,137.1107940673828
2017-07-01 14:52:46,137.37026977539062
2017-07-01 18:06:16,142.1769561767578
2017-07-01 19:20:17,141.91749572753906
2017-07-01 19:20:17,141.91749572753906
2017-07-01 19:20:18,141.85263061523438
2017-07-01 19:20:19,141.85263061523438
2017-07-01 19:20:20,141.85263061523438
2017-07-01 19:20:22,141.98236083984375
2017-07-01 19:30:17,141.6645050048828
2017-07-01 19:30:18,141.6645050048828
2017-07-01 19:30:19,141.59963989257812
2017-07-01 19:30:20,141.59963989257812
2017-07-01 19:30:21,141.59963989257812
2017-07-01 19:30:22,141.53477478027344
2017-07-01 19:30:23,141.59963989257812
2017-07-01 19:30:24,141.59963989257812
2017-07-01 19:30:25,141.6645050048828
2017-07-01 19:30:26,141.6645050048828
2017-07-01 19:40:17,142.04722595214844
2017-07-02 00:58:32,140.380126953125
2017-07-02 05:19:12,138.77789306640625
2017-07-02 06:59:39,137.04592895507812
2017-07-02 14:59:39,140.89259338378906
2017-07-02 19:00:17,144.22677612304688
2017-07-02 19:00:18,144.0970458984375
2017-07-02 19:00:19,144.22677612304688
2017-07-02 19:00:20,144.1619110107422
2017-07-02 19:00:21,144.1619110107422
2017-07-02 19:00:22,144.0970458984375
2017-07-02 19:00:23,144.1619110107422
2017-07-02 19:00:24,144.0970458984375
2017-07-02 19:00:25,144.1619110107422
2017-07-02 19:00:26,144.1619110107422
2017-07-02 19:00:27,144.0970458984375
2017-07-02 19:00:28,144.1619110107422
2017-07-02 19:00:29,144.1619110107422
2017-07-02 19:00:30,144.1619110107422
2017-07-02 19:00:31,144.1619110107422
2017-07-02 19:10:18,141.85263061523438
2017-07-02 19:10:19,141.98236083984375
2017-07-02 19:10:20,141.85263061523438
2017-07-02 21:02:35,138.00596618652344
2017-07-03 02:37:22,139.86767578125
2017-07-03 06:13:43,141.08718872070312
2017-07-03 08:50:46,133.84146118164062
2017-07-03 12:33:36,134.03607177734375
2017-07-03 18:44:03,135.8912811279297
2017-07-03 20:08:53,137.94760131835938
2017-07-03 20:50:25,137.68812561035156
2017-07-03 20:50:26,137.75299072265625
2017-07-03 20:50:26,137.68812561035156
2017-07-03 20:50:27,137.68812561035156
2017-07-03 20:50:28,137.68812561035156
2017-07-03 20:50:29,137.68812561035156
2017-07-03 20:50:30,137.68812561035156
2017-07-03 20:50:32,137.75299072265625
2017-07-03 20:50:33,137.81785583496094
2017-07-03 20:50:33,137.75299072265625
2017-07-04 02:14:27,142.42994689941406
2017-07-04 03:22:05,143.77919006347656
2017-07-05 03:05:45,126.92008972167969
2017-07-05 03:15:22,127.11469268798828
2017-07-05 03:15:23,127.1795654296875
2017-07-05 03:15:24,127.0498275756836
2017-07-05 03:15:25,127.11469268798828
2017-07-05 03:15:26,127.0498275756836
2017-07-05 03:15:27,127.11469268798828
2017-07-05 03:15:28,127.0498275756836
2017-07-05 03:15:29,127.0498275756836
2017-07-05 03:15:30,127.11469268798828
2017-07-05 03:15:31,127.0498275756836
2017-07-05 03:15:32,127.0498275756836
2017-07-05 03:15:33,127.11469268798828
2017-07-05 03:15:34,127.11469268798828
2017-07-05 03:15:35,127.0498275756836
2017-07-05 03:15:36,127.11469268798828
2017-07-05 03:15:37,127.0498275756836
2017-07-05 03:34:52,126.85521697998047
2017-07-05 03:34:53,126.98495483398438
2017-07-05 03:34:54,126.92008972167969
2017-07-05 03:34:55,126.98495483398438
2017-07-05 03:34:56,126.85521697998047
2017-07-05 03:34:57,126.85521697998047
2017-07-05 03:34:58,126.92008972167969
2017-07-05 03:34:59,126.85521697998047
2017-07-05 03:35:00,126.92008972167969
2017-07-05 10:01:57,127.69200897216797
2017-07-05 18:01:56,131.92138671875
2017-07-06 02:01:55,128.84017944335938
2017-07-06 05:02:07,127.69200897216797
2017-07-06 05:14:57,128.2044677734375
2017-07-06 05:14:58,128.1396026611328
2017-07-06 05:14:59,128.2044677734375
2017-07-06 05:15:00,128.1396026611328
2017-07-06 05:15:01,128.2044677734375
2017-07-06 05:15:02,128.2044677734375
2017-07-06 09:37:11,128.2044677734375
2017-07-06 13:53:27,137.88272094726562
2017-07-06 18:43:48,145.76414489746094
2017-07-06 23:52:10,145.63441467285156
2017-07-07 02:59:16,142.30670166015625
2017-07-07 04:34:58,139.355224609375
2017-07-07 04:34:59,139.4200897216797
2017-07-07 04:35:00,139.4200897216797
2017-07-07 04:35:01,139.4200897216797
2017-07-07 04:35:02,139.355224609375
2017-07-07 04:35:03,139.4200897216797
2017-07-07 04:35:04,139.355224609375
2017-07-07 12:35:04,137.75299072265625
2017-07-07 14:54:49,136.9226837158203
2017-07-07 16:19:16,141.34017944335938
2017-07-07 18:52:51,144.1619110107422
2017-07-07 21:44:29,138.84275817871094
2017-07-08 03:11:17,142.1121063232422
2017-07-08 06:45:05,141.78775024414062
2017-07-08 06:45:06,141.85263061523438
2017-07-08 06:45:07,141.85263061523438
2017-07-08 06:45:08,141.85263061523438
2017-07-08 06:45:09,141.85263061523438
2017-07-08 06:45:10,141.78775024414062
2017-07-08 13:23:15,137.81785583496094
2017-07-08 18:20:15,139.355224609375
2017-07-08 21:46:13,136.2156219482422
2017-07-09 02:41:39,132.3689727783203
2017-07-09 06:05:05,134.1658172607422
2017-07-09 06:05:06,134.22418212890625
2017-07-09 06:05:07,134.1658172607422
2017-07-09 06:05:08,134.1658172607422
2017-07-09 06:05:09,134.1658172607422
2017-07-09 06:05:10,134.1658172607422
2017-07-09 06:15:06,134.28904724121094
2017-07-09 06:15:07,134.28904724121094
2017-07-09 06:15:08,134.22418212890625
2017-07-09 06:15:09,134.28904724121094
2017-07-09 06:15:10,134.22418212890625
2017-07-09 06:15:11,134.28904724121094
2017-07-09 06:15:12,134.28904724121094
