time,value,health_index
2017-05-10,132.72737121582028,9.325873406851315e-15
2017-05-11,132.72737121582028,9.325873406851315e-15
2017-05-12,132.72737121582028,9.325873406851315e-15
2017-05-13,132.72737121582028,9.325873406851315e-15
2017-05-14,132.72737121582028,9.325873406851315e-15
2017-05-15,132.72737121582028,9.325873406851315e-15
2017-05-16,132.72737121582028,9.325873406851315e-15
2017-05-17,59.175537109375,0.6708801801809944
2017-05-18,0.0,2.5596191832732984e-12
2017-05-19,0.044595450162887566,2.6517676943171864e-12
2017-05-20,0.044595450162887566,2.6517676943171864e-12
2017-05-21,0.044595450162887566,2.6517676943171864e-12
2017-05-22,0.044595450162887566,2.6517676943171864e-12
2017-05-23,0.044595450162887566,2.6517676943171864e-12
2017-05-24,0.044595450162887566,2.6517676943171864e-12
2017-05-25,0.044595450162887566,2.6517676943171864e-12
2017-05-26,0.044595450162887566,2.6517676943171864e-12
2017-05-27,0.0,2.5596191832732984e-12
2017-05-28,0.044595450162887566,2.6517676943171864e-12
2017-05-29,0.044595450162887566,2.6517676943171864e-12
2017-05-30,0.0,2.5596191832732984e-12
2017-05-31,0.0040531158447265625,2.5678348336555246e-12
2017-06-01,0.044595450162887566,2.6517676943171864e-12
2017-06-02,0.0,2.5596191832732984e-12
2017-06-03,0.0,2.5596191832732984e-12
2017-06-04,0.0,2.5596191832732984e-12
2017-06-05,0.0,2.5596191832732984e-12
2017-06-06,0.0040531158447265625,2.5678348336555246e-12
2017-06-07,0.044595450162887566,2.6517676943171864e-12
2017-06-08,0.044595450162887566,2.6517676943171864e-12
2017-06-09,0.0,2.5596191832732984e-12
2017-06-10,0.0040531158447265625,2.5678348336555246e-12
2017-06-11,0.0,2.5596191832732984e-12
2017-06-12,0.0,2.5596191832732984e-12
2017-06-13,0.0,2.5596191832732984e-12
2017-06-14,0.044595450162887566,2.6517676943171864e-12
2017-06-15,0.044595450162887566,2.6517676943171864e-12
2017-06-16,0.0,2.5596191832732984e-12
