time,value,health_index
2017-05-10,123.3329086303711,0.04550714337162809
2017-05-11,123.3329086303711,0.04550714337162809
2017-05-12,117.81915283203124,0.2408467685812845
2017-05-13,128.00987243652344,0.006903145232277419
2017-05-14,130.70187377929688,0.0019009829124421174
2017-05-15,118.90892791748048,0.18143843333208265
2017-05-16,129.74183654785156,0.0030636777320232067
2017-05-17,121.73067474365234,0.07847544597515999
2017-05-18,102.1795654296875,0.24076966629537933
2017-05-19,119.0970458984375,0.1723923637458158
2017-05-20,125.44759368896484,0.020496158226140482
2017-05-21,128.96990966796878,0.0044343645999671555
2017-05-22,129.22938537597656,0.003921505633427413
2017-05-23,131.66191101074222,0.001156948279123382
2017-05-24,130.70187377929688,0.0019009829124421174
2017-05-25,127.4974136352539,0.008674774567038579
2017-05-26,131.01972961425778,0.0016162426082235726
2017-05-27,131.92138671875,0.0010082731404421619
2017-05-28,132.9462890625,0.0005775511669077193
2017-05-29,133.26414489746094,0.0004837046922585575
2017-05-30,133.58848571777344,0.00040275363203146064
2017-05-31,132.36897277832028,0.0007926579976906822
2017-06-01,134.48365783691406,0.00024014339072642166
2017-06-02,139.67306518554688,8.548735413560493e-06
2017-06-03,135.50857543945312,0.0001300909725390209
2017-06-04,138.13571166992188,2.4391601127993212e-05
2017-06-05,141.34017944335938,2.5885638736955485e-06
2017-06-06,123.6507568359375,0.040597883007348345
2017-06-07,120.4462890625,0.11712793151487855
2017-06-08,133.84146118164062,0.00034859941307674447
2017-06-09,135.50857543945312,0.0001300909725390209
2017-06-10,132.88142395019528,0.0005986758524672009
2017-06-11,138.52491760253906,1.8795624856515758e-05
2017-06-12,143.6494598388672,4.4781858510312134e-07
2017-06-13,140.7044677734375,4.111396192163497e-06
2017-06-14,129.03477478027344,0.004300753866297802
2017-06-15,131.27919006347656,0.001413507732330288
2017-06-16,139.03736877441406,1.3269969501461532e-05
2017-06-17,137.37026977539062,4.033706598915998e-05
2017-06-18,135.6383056640625,0.00012018628900434258
2017-06-19,136.98106384277344,5.184289973581002e-05
2017-06-20,125.38272094726562,0.02103207775983673
2017-06-21,112.81785583496094,0.6725299351401246
2017-06-22,119.61598205566406,0.1491903227543192
2017-06-23,127.81526184082031,0.00753356738088895
2017-06-24,136.46861267089844,7.178463082158082e-05
2017-06-25,139.16061401367188,1.2193889249445533e-05
2017-06-26,134.41879272460938,0.00024945489613603655
2017-06-27,130.5721435546875,0.0020299061955182385
2017-06-28,134.99610900878906,0.00017724660513063206
2017-06-29,139.73794555664062,8.169549375658391e-06
2017-06-30,132.36897277832028,0.0007926579976906822
2017-07-01,135.25558471679688,0.0001516586112468854
2017-07-02,136.28048706054688,8.078036036485159e-05
2017-07-03,133.65335083007812,0.00038816435356592294
2017-07-04,134.03607177734378,0.000311659569814271
2017-07-05,139.61468505859378,8.90425923394389e-06
2017-07-06,124.35781860351562,0.03126584141980415
2017-07-07,143.0721435546875,7.019566314880876e-07
2017-07-08,133.07601928710938,0.000537367944783318
2017-07-09,129.54722595214844,0.0033669578111443776
2017-07-10,133.26414489746094,0.0004837046922585575
2017-07-11,137.94760131835938,2.7633513091096518e-05
2017-07-12,129.16450500488278,0.004044426086033059
2017-07-13,137.24052429199222,4.38725126590267e-05
2017-07-14,134.74313354492188,0.00020605906693660359
2017-07-15,137.88272094726562,2.8843756893603967e-05
2017-07-16,134.35392761230472,0.00025910422986386017
2017-07-17,137.68812561035156,3.278309443843774e-05
2017-07-18,132.36897277832028,0.0007926579976906822
2017-07-19,134.16581726074222,0.0002891039457166844
2017-07-20,141.46990966796875,2.3528128221261824e-06
2017-07-21,134.22418212890622,0.0002794644448269601
2017-07-22,133.97120666503906,0.00032354407804469076
2017-07-23,137.75299072265622,3.141640959980485e-05
2017-07-24,132.23922729492188,0.0008502860591863559
2017-07-25,132.05111694335938,0.0009407641973055991
2017-07-26,131.01972961425778,0.0016162426082235726
2017-07-27,134.54852294921878,0.00023115873668100306
2017-07-28,130.5721435546875,0.0020299061955182385
2017-07-29,123.13829803466795,0.04875308428486602
2017-07-30,123.13829803466795,0.04875308428486602
2017-07-31,123.13829803466795,0.04875308428486602
2017-08-01,123.13829803466795,0.04875308428486602
2017-08-02,126.40763854980469,0.01384940787478306
2017-08-03,140.06227111816406,6.50294129567186e-06
2017-08-04,132.88142395019528,0.0005986758524672009
2017-08-05,128.7169189453125,0.004992181412417418
2017-08-06,131.27919006347656,0.001413507732330288
2017-08-07,129.16450500488278,0.004044426086033059
2017-08-08,129.35911560058594,0.003685842998709443
2017-08-09,122.87883758544922,0.05338103054840815
2017-08-10,131.27919006347656,0.001413507732330288
2017-08-11,133.01116943359378,0.000557117486640335
2017-08-12,126.6606216430664,0.012451154400984654
2017-08-13,129.16450500488278,0.004044426086033059
2017-08-14,123.5858917236328,0.04156155922833471
2017-08-15,127.43254089355469,0.008925851276411656
2017-08-16,130.5721435546875,0.0020299061955182385
2017-08-17,135.57344055175778,0.00012504622275955057
2017-08-18,134.801513671875,0.00019904375476520464
2017-08-19,127.43254089355469,0.008925851276411656
2017-08-20,127.43254089355469,0.008925851276411656
2017-08-21,131.47380065917972,0.0012771290643431854
2017-08-22,132.81655883789062,0.0006205178948663903
2017-08-23,120.38142395019531,0.11941978226445293
2017-08-24,124.42268371582031,0.030510231057993886
2017-08-25,124.48755645751952,0.029770273383681767
2017-08-26,128.45745849609378,0.005629446237302327
2017-08-27,125.12325286865234,0.023299483832458723
2017-08-28,125.25298309326172,0.022140580753935435
2017-08-29,127.75039672851562,0.007754885592075267
